Year,Haiti,USA
1948,30,12653
1949,35,12051
1950,39,9993
1951,51,13967
1952,52,13203
1953,38,12262
1954,55,12854
1955,36,14291
1956,42,17333
1957,34,19495
1958,39,16367
1959,28,16407
1960,33,19626
1961,32,20190
1962,43,20973
1963,41,22427
1964,40,25690
1965,37,26699
1966,36,29379
1967,34,30934
1968,36,34063
1969,37,37332
1970,40,43225
1971,47,43549
1972,44,49199
1973,53,70823
1974,72,99437
1975,80,108856
1976,124,116794
1977,149,123182
1978,155,145847
1979,185,186363
1980,226,225566
1981,152,238715
1982,178,216442
1983,166,205639
1984,179,223976
1985,168,218815
1986,184,227158
1987,214,254122
1988,179,322427
1989,144,363812
1990,160,393592
1991,166,421730
1992,73,448163
1993,80,464773
1994,82,512627
1995,110,584743
1996,90,625073
1997,212,689182
1998,320,682138
1999,334,695797
2000,318,781918
2001,274,729100
2002,280,693103
2003,347,724771
2004,391,814875
2005,470,901082
2006,509,1025967
2007,522,1148199
2008,480,1287442
2009,576,1056043
2010,579,1278495
2011,767,1482508
2012,815,1545703
2013,885,1579593
2014,950,1620532
2015,882,1502572
2016,986,1451011
2017,980,1546273
2018,1078,1663982
2019,1202,1643161
2020,885,1424935
2021,1130,1754300
2022,1282,2065157
2023,896,2019542

